Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,INTPTLAT10,INTPTLON10,geo
0.170221,0.106,0.252,0.116908,0.979,0.022,254.721,0.0,0.00184591,5.6062,6.011,2.9315,0.065,1.64667,2.1589,0.284,24.2664,37.7500665,-122.4410751,POINT(-122.4410751 37.7500665)
0.170221,0.106,0.252,0.116908,0.979,0.022,254.721,0.0,0.00184591,5.6062,6.011,2.9315,0.065,1.64667,2.1589,0.284,24.2664,37.7501958,-122.438933,POINT(-122.438933 37.7501958)
0.070745814,0.117999665,0.221002,0.190439454,0.979997249,0.027999918,156.295,0.0,0.00366337,5.9,5.44,3.0756,0.056999837,10.8429,2.1589,0.430998784,42.5196,37.7567937,-122.4362701,POINT(-122.4362701 37.7567937)
0.137712,0.099,0.241,0.134181,0.989,0.013,253.404,0.0,0.0014446,5.9,5.44,3.0756,0.042,6.63544,2.1589,0.4,29.2131,37.7535291,-122.4370498,POINT(-122.4370498 37.7535291)
0.149512,0.114,0.32,0.146593,0.985,0.01,244.863,0.0,6.45516E-4,5.9,5.44,3.0756,0.092,4.0209,2.1589,0.323,26.5798,37.755758,-122.4334002,POINT(-122.4334002 37.755758)
0.149512,0.114,0.32,0.146593,0.985,0.01,244.863,0.0,6.45516E-4,5.9,5.44,3.0756,0.092,4.0209,2.1589,0.323,26.5798,37.7549585,-122.4333237,POINT(-122.4333237 37.7549585)
0.097347098,0.149000076,0.455,0.131719081,0.946000612,0.00900003,185.235,0.0,0.00223578,3.6,9.91,1.9474,0.08100005,6.27884,2.1589,0.367000316,36.2197,37.7457689,-122.4326245,POINT(-122.4326245 37.7457689)
0.171856023,0.195000016,0.402,0.164746021,0.941000139,0.039000001,174.903,0.0,0.0075514,3.6,9.91,1.9474,0.109000005,3.33637,2.1589,0.391000039,40.2396,37.7349879,-122.4391125,POINT(-122.4391125 37.7349879)
0.097347098,0.149000076,0.455,0.131719081,0.946000612,0.00900003,185.235,0.0,0.00223578,3.6,9.91,1.9474,0.08100005,6.27884,2.1589,0.367000316,36.2197,37.7436326,-122.4344795,POINT(-122.4344795 37.7436326)
0.171856,0.195,0.402,0.164746,0.941,0.039,206.399,0.0,9.48892E-4,3.6,9.91,1.9474,0.109,5.78496,2.1589,0.391,35.5531,37.7391582,-122.435783,POINT(-122.435783 37.7391582)
0.171856023,0.195000016,0.402,0.164746021,0.941000139,0.039000001,174.903,0.0,0.0075514,3.6,9.91,1.9474,0.109000005,3.33637,2.1589,0.391000039,40.2396,37.7370698,-122.4354976,POINT(-122.4354976 37.7370698)
0.171856,0.195,0.402,0.164746,0.941,0.039,206.399,0.0,9.48892E-4,3.6,9.91,1.9474,0.109,5.78496,2.1589,0.391,35.5531,37.7374938,-122.433121,POINT(-122.433121 37.7374938)
0.164464117,0.11000013,0.263,0.148655117,0.981000666,0.005000031,145.457,0.0,0.00339046,3.6059,9.9156,1.9507,0.036000073,4.09417,2.1589,0.275000259,29.9063,37.7342585,-122.4343787,POINT(-122.4343787 37.7342585)
0.164464117,0.11000013,0.263,0.148655117,0.981000666,0.005000031,145.457,0.0,0.00339046,3.6059,9.9156,1.9507,0.036000073,4.09417,2.1589,0.275000259,29.9063,37.7334292,-122.4319727,POINT(-122.4319727 37.7334292)
0.07423505,0.110000049,0.273,0.175168105,0.972000629,0.027000034,107.993,0.0,0.0,6.0659,6.0952,3.1515,0.140000042,12.3153,2.1589,0.495000255,41.8464,37.7576457,-122.4290889,POINT(-122.4290889 37.7576457)
0.086594128,0.04039623,0.460422,0.069068897,0.951235035,0.020198115,-7.8,0.126973,0.00341955,8.2462,12.1195,3.8996,0.02308356,2.95858,17.2145,0.30393354,57.8858,37.7624061,-122.3887032,POINT(-122.3887032 37.7624061)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7511721,-122.3928439,POINT(-122.3928439 37.7511721)
0.177956019,0.061000009,0.43,0.200711015,0.928000206,0.046000004,6.26426,0.0,0.00614177,9.9,14.55,4.6817,0.073000005,2.04708,17.613,0.267000066,47.8994,37.7535196,-122.3915228,POINT(-122.3915228 37.7535196)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7483549,-122.3873979,POINT(-122.3873979 37.7483549)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7444584,-122.3885564,POINT(-122.3885564 37.7444584)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7396585,-122.3901108,POINT(-122.3901108 37.7396585)
0.255152019,0.101000013,0.943,0.427645024,0.710000085,0.092000014,28.884,0.0,8.01244E-4,23.2,38.58,16.1156,0.108000008,10.0942,17.613,0.266000017,59.5196,37.7324004,-122.3906022,POINT(-122.3906022 37.7324004)
0.131896937,0.112999923,0.480001,0.217518883,0.956999388,0.026999978,106.901,0.0,0.0,13.9,37.03,6.7351,0.085999936,6.07441,3.2195,0.224999868,42.2264,37.7415432,-122.4099961,POINT(-122.4099961 37.7415432)
0.351129,0.084,0.944,0.601437,0.835,0.042,55.1029,0.0,0.00271045,23.2,38.58,16.1156,0.11,6.82516,17.613,0.238,52.8662,37.7333181,-122.387264,POINT(-122.387264 37.7333181)
0.351129097,0.08400001,0.944,0.601437184,0.835000167,0.042000023,5.77501,0.0,8.33153E-4,23.2,38.58,16.1156,0.110000028,1.37174,17.613,0.238000066,46.9129,37.734327,-122.3852597,POINT(-122.3852597 37.734327)
0.148567,0.11,0.368,0.120491,0.941,0.046,65.9838,0.0,0.0153918,9.8372,26.3327,4.8467,0.074,7.33753,2.2659,0.493,54.1861,37.7467677,-122.4223465,POINT(-122.4223465 37.7467677)
0.148567,0.11,0.368,0.120491,0.941,0.046,88.2222,0.0,0.00575111,5.996,16.2187,3.0612,0.074,4.87988,2.1589,0.493,44.2062,37.7434352,-122.4243478,POINT(-122.4243478 37.7434352)
0.148567,0.11,0.368,0.120491,0.941,0.046,81.9264,0.0,0.00368569,8.8839,23.8225,4.4035,0.074,9.80395,2.1589,0.493,49.1862,37.7458366,-122.4245774,POINT(-122.4245774 37.7458366)
0.148567,0.11,0.368,0.120491,0.941,0.046,65.9838,0.0,0.0153918,9.8372,26.3327,4.8467,0.074,7.33753,2.2659,0.493,54.1861,37.7466378,-122.4246511,POINT(-122.4246511 37.7466378)
0.102118,0.135,0.551,0.386899,0.892,0.063,174.806,0.0,7.95806E-4,3.2073,6.7006,1.9295,0.077,9.24094,4.6154,0.379,40.8531,37.781238,-122.4594491,POINT(-122.4594491 37.781238)
0.061339,0.097,0.495,0.242024,0.933,0.05,192.812,0.0,6.44177E-4,10.0643,19.3466,4.6398,0.081,6.38298,0.6531,0.342,42.8931,37.78263,-122.4444339,POINT(-122.4444339 37.78263)
0.068510927,0.336999197,0.519,0.389861105,0.858998661,0.223999417,99.0,0.0,0.0663649,12.1,23.1,5.4453,0.272999288,2.21729,3.7988,0.530999001,70.8861,37.7846721,-122.4342561,POINT(-122.4342561 37.7846721)
0.098201105,0.228000012,0.609,0.412794334,0.925000144,0.195000107,94.178,0.0,0.0481529,12.1,23.1,5.4453,0.140000135,1.36674,3.7988,0.506999934,69.2261,37.7841487,-122.4337315,POINT(-122.4337315 37.7841487)
0.098201105,0.228000012,0.609,0.412794334,0.925000144,0.195000107,94.178,0.0,0.0481529,12.1,23.1,5.4453,0.140000135,1.36674,3.7988,0.506999934,69.2261,37.784358,-122.4320479,POINT(-122.4320479 37.784358)
0.142663087,0.128000202,0.584,0.361557366,0.93000082,0.086000173,105.946,0.0,5.42616E-4,12.1,23.1,5.4453,0.121000124,2.40385,3.7988,0.292000449,47.5797,37.7839198,-122.4362286,POINT(-122.4362286 37.7839198)
0.098200266,0.227998383,0.609003,0.412791016,0.924993395,0.194998582,99.2734,0.0,1.76121E-4,9.9799,26.8223,4.6275,0.139999033,3.54251,3.7988,0.506996432,60.5397,37.782105,-122.4307034,POINT(-122.4307034 37.782105)
0.086594128,0.04039623,0.460422,0.069068897,0.951235035,0.020198115,-7.8,0.126973,0.00341955,8.2462,12.1195,3.8996,0.02308356,2.95858,17.2145,0.30393354,57.8858,37.7574241,-122.3846405,POINT(-122.3846405 37.7574241)
0.09533151,0.221999068,0.726001,0.79475029,0.69499739,0.202999258,7.13278,0.0,0.00410501,15.5,63.7499,12.9672,0.424997971,13.7255,14.6184,0.73199689,81.8061,37.7837774,-122.4100269,POINT(-122.4100269 37.7837774)
0.211150888,0.113213448,0.981456,0.424132711,0.679280688,0.207883314,29.5647,0.0,0.0136077,10.9437,16.4253,7.3306,0.094669866,1.56863,17.613,0.147372678,63.2594,37.710039,-122.4121489,POINT(-122.4121489 37.710039)
0.032,0.158,0.564,0.384762,0.893,0.094,158.572,0.0,0.0,6.4,8.63,3.6429,0.078,24.3,4.9374,0.681,53.4798,37.7917197,-122.4078527,POINT(-122.4078527 37.7917197)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7430833,-122.397949,POINT(-122.397949 37.7430833)
0.130178048,0.151000045,0.847,0.331840055,0.816000316,0.200000024,252.59,0.0,0.0023259,8.2,14.28,4.4834,0.128000025,5.19412,0.4993,0.154000081,49.6064,37.7229799,-122.4506416,POINT(-122.4506416 37.7229799)
0.207265099,0.105000008,0.917,0.503776419,0.63600113,0.22000017,7.47451,0.0,0.0063782,23.2,38.58,16.1156,0.090000153,9.48185,17.613,0.264000539,73.5194,37.7373914,-122.3956751,POINT(-122.3956751 37.7373914)
0.207265099,0.105000008,0.917,0.503776419,0.63600113,0.22000017,7.47451,0.0,0.0063782,23.2,38.58,16.1156,0.090000153,9.48185,17.613,0.264000539,73.5194,37.7365068,-122.3928693,POINT(-122.3928693 37.7365068)
0.133026982,0.138966573,0.640087,0.246457738,0.796808285,0.162960771,-5.0,0.0942422,0.0139764,6.4259,10.77,2.5215,0.117971637,2.75027,1.8757,0.260937329,63.5992,37.741894,-122.5112325,POINT(-122.5112325 37.741894)
0.1665058,0.126001332,0.792998,0.366493793,0.820008853,0.177001817,9.30935,0.0,0.0907231,13.8619,36.8079,6.7337,0.123001265,2.98198,3.2195,0.19600209,65.926,37.7329297,-122.4216459,POINT(-122.4216459 37.7329297)
0.246477964,0.029775797,0.22186,0.099742931,0.992526102,0.006947695,-6.75712,0.0555552,0.00136021,0.0184,0.0511,0.0114,0.046648733,0.193517,0.3422,0.286840058,34.9527,37.8004646,-122.4655899,POINT(-122.4655899 37.8004646)
0.173333,0.134,0.87,0.383139,0.8,0.183,160.503,0.0,0.00447101,7.9618,13.7448,3.934,0.115,5.09761,0.3402,0.215,50.5996,37.7133816,-122.4666376,POINT(-122.4666376 37.7133816)
0.173333,0.134,0.87,0.383139,0.8,0.183,160.503,0.0,0.00447101,7.9618,13.7448,3.934,0.115,5.09761,0.3402,0.215,50.5996,37.7133936,-122.4657388,POINT(-122.4657388 37.7133936)
0.173333,0.134,0.87,0.383139,0.8,0.183,160.503,0.0,0.00447101,7.9618,13.7448,3.934,0.115,5.09761,0.3402,0.215,50.5996,37.7112768,-122.4711606,POINT(-122.4711606 37.7112768)
0.173549,0.171,0.892,0.277262,0.756,0.285,127.25,0.0,0.0413164,8.2,14.28,4.4834,0.106,3.64742,0.5207,0.212,59.6128,37.7227407,-122.4386635,POINT(-122.4386635 37.7227407)
0.173549027,0.171000028,0.892,0.277262074,0.756000127,0.285000061,147.271,0.0,0.00181786,8.2,14.28,4.4834,0.10600002,3.41426,0.5207,0.212000028,52.273,37.7178872,-122.4438306,POINT(-122.4438306 37.7178872)
0.158265903,0.178999798,0.946,0.496576287,0.618999761,0.234999691,47.8371,0.0,0.0,23.2,38.58,16.1156,0.106999875,1.86666,17.613,0.166999869,59.253,37.7343181,-122.4004866,POINT(-122.4004866 37.7343181)
0.072957122,8.03785E-10,0.599175,0.356678376,0.996079927,0.150558628,-6.0,0.182261,0.035771,22.0584,36.52,15.1339,0.133608319,14.1093,17.5025,0.480591116,84.819,37.7438298,-122.3972968,POINT(-122.3972968 37.7438298)
0.092821,0.057,0.49,0.171948,0.965,0.081,6.02855,0.0,0.0,9.8852,14.5609,4.6747,0.081,39.9348,19.2683,0.474,50.1463,37.7803499,-122.3923761,POINT(-122.3923761 37.7803499)
